Rhinoceros,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.34188382086
Opisthokonta,1305.8335179487099
Holozoa,994.1680333333297
563254,939.3333333333297
Metazoa,939.3333333333297
Eumetazoa,939.3333333333297
564202,939.3333333333297
Bilateria,850.3327392156828
Deuterostomia,730.3111111111077
Chordata,736.3333333333297
Vertebrata,634.6544213333298
Gnathostomata,486.2277668133298
Euteleostomi,432.95528812878484
Sarcopterygii,415.19143725097683
Dipnotetrapodomorpha,415.19143725097683
Tetrapoda,359.0754451696938
Amniota,323.85715666666283
Mammalia,182.52639583332984
Theria,166.99876833332985
Eutheria,108.34299128204786
Boreoeutheria,100.78521379084626
Laurasiatheria,92.76544166666315
2034426,85.20914761904415
2034427,81.72584999999654
2034428,80.34703333332985
Perissodactyla,53.146793333329846
Rhinocerotidae,37.02187749999655
Rhinoceros,15.551799999996547
