Asparagus,mya
cellular organisms,4250.0
16654,4250.0
Eukaryota,1765.3418838208604
Archaeplastida,1499.0395333333304
16685,1398.9007222222203
Chloroplastida,986.3333333333303
Streptophyta,757.1458473333303
Embryophyta,554.8835853333303
48507,518.4392558333303
Tracheophyta,435.0522522222193
Euphyllophyta,407.92479179486827
Spermatophyta,321.3497333333303
Magnoliophyta,191.2982833333303
Mesangiospermae,158.3333333333303
237140,158.3333333333303
Liliopsida,138.3632482905953
Petrosaviidae,123.4795044444413
242773,123.3333333333303
242774,120.3333333333303
Asparagales,98.2573428015845
Asparagaceae,61.205713999997
Asparagoideae,41.9149204444414
Asparagus,22.6241268888859
Asparagus officinalis,3.3333333333303017
